iter	Passed	Remaining
467	732	832
468	733	830
469	734	828
470	735	826
471	736	824
472	738	822
473	738	820
474	740	817
475	741	815
476	742	813
477	743	811
478	744	810
479	746	808
480	747	806
481	748	804
482	749	802
483	751	800
484	752	798
485	753	797
486	754	794
487	755	792
488	756	790
489	757	788
490	758	786
491	760	784
492	762	783
493	763	781
494	764	779
495	765	778
496	766	776
497	767	773
498	768	772
499	769	769
500	770	767
501	772	765
502	773	764
503	774	762
504	775	760
505	777	758
506	778	757
507	779	755
508	780	753
509	781	751
510	783	749
511	784	747
512	785	745
513	786	743
514	787	741
515	788	739
516	789	737
517	791	736
518	792	734
519	794	733
520	795	731
521	796	729
522	797	727
523	798	725
524	799	723
525	800	721
526	801	719
527	802	717
528	803	715
529	804	713
530	806	712
531	808	711
532	809	709
533	811	707
534	812	706
535	813	704
536	814	702
537	815	700
538	817	698
539	818	696
540	819	694
541	820	693
542	822	692
543	823	690
544	824	688
545	825	686
546	826	684
547	828	683
548	829	681
549	830	679
550	831	677
551	832	675
552	833	673
553	834	672
554	835	670
555	838	669
556	839	667
557	840	665
558	841	663
559	842	661
560	843	660
561	844	658
562	846	656
563	847	654
564	848	652
565	849	651
566	850	649
567	851	647
568	853	646
569	854	644
570	855	642
571	856	641
572	858	639
573	859	637
574	860	635
575	861	634
576	862	632
577	863	630
578	864	628
579	866	627
580	868	626
581	869	624
582	870	622
583	871	620
584	872	619
585	874	617
586	875	616
587	877	614
588	878	613
589	880	611
590	881	609
591	883	609
592	885	607
593	886	606
594	888	604
595	889	602
596	890	601
597	892	599
598	893	598
599	895	596
600	896	595
601	898	594
602	900	592
603	901	591
604	903	590
605	904	588
606	906	586
607	907	584
608	908	583
609	909	581
610	911	580
611	912	578
612	914	577
613	915	575
614	916	573
615	917	572
616	919	570
617	920	568
618	921	567
619	922	565
620	923	563
621	925	562
622	926	560
623	928	559
624	930	558
625	931	556
626	932	554
627	933	553
628	934	551
629	936	549
630	937	548
631	938	546
632	939	544
633	941	543
634	942	541
635	944	540
636	945	538
637	947	537
638	948	535
639	949	534
640	950	532
641	952	530
642	953	529
643	954	527
644	955	526
645	956	524
646	959	523
647	961	522
648	963	520
649	964	519
650	965	517
651	967	516
652	968	514
653	970	513
654	971	511
655	972	510
656	974	508
657	975	506
658	976	505
659	977	503
660	978	501
661	979	499
662	980	498
663	982	496
664	983	495
665	985	493
666	986	492
667	987	490
668	989	489
669	990	487
670	991	486
671	993	484
672	994	483
673	995	481
674	997	480
675	999	478
676	1000	477
677	1002	476
678	1003	474
679	1005	473
680	1007	471
681	1008	470
682	1010	468
683	1011	467
684	1012	465
685	1014	464
686	1016	463
687	1017	461
688	1018	459
689	1020	458
690	1021	456
691	1023	455
692	1024	453
693	1025	452
694	1026	450
695	1029	449
696	1030	448
697	1031	446
698	1033	444
699	1034	443
700	1036	441
701	1037	440
702	1038	438
703	1040	437
704	1041	435
705	1042	434
706	1044	433
707	1046	431
708	1048	430
709	1049	428
710	1050	427
711	1051	425
712	1053	423
713	1054	422
714	1055	420
715	1057	419
716	1059	418
717	1060	416
718	1062	415
719	1063	413
720	1065	412
721	1066	410
722	1068	409
723	1069	407
724	1070	406
725	1072	404
726	1073	403
727	1075	401
728	1076	400
729	1077	398
730	1078	396
731	1080	395
732	1081	393
733	1082	392
734	1083	390
735	1085	389
736	1086	387
737	1091	387
738	1095	387
